limit_profile,index,target_wavelength_nm,measured_wavelength_nm,wavelength_error_pm,target_power_mw,measured_power_mw,power_error_percent,smsr_db,peak_count,single_mode_pass,gain_ma,soa_ma,phase_ma,wavelength_a_ma,wavelength_b_ma,gain_code,soa_code,phase_code,wavelength_a_code,wavelength_b_code,pdt_reference_code,pdr_reference_code,power_feedback_channel,power_feedback_reference_code,power_feedback_rail_margin_code,power_feedback_hardware_eligible,guard_stage_count,guard_hold_ms_per_stage
fullband_2001_145mA_v1,610,1537.200000,1537.19981000,-0.190000,2.056000,2.040480788,-0.754826,28.784137,116,1,144.998932,120.435333,9.687195,12.030029,7.514648,63351,52619,31743,9855,6156,,,,0,0,0,0,0
fullband_2001_145mA_v1,611,1537.220000,1537.21892000,-1.080000,2.056000,2.038620443,-0.845309,27.318109,129,1,144.998932,120.350647,9.169922,11.993408,7.437744,63351,52582,30048,9825,6093,,,,0,0,0,0,0
fullband_2001_145mA_v1,612,1537.240000,1537.24072000,0.720000,2.056000,2.074877418,0.918162,33.661304,134,1,144.998932,119.952393,8.999939,11.839600,7.314453,63351,52408,29491,9699,5992,,,,0,0,0,0,0
fullband_2001_145mA_v1,613,1537.260000,1537.25814000,-1.860000,2.056000,2.066060121,0.489305,26.913364,142,1,144.998932,118.574524,9.272461,10.738525,7.500000,63351,51806,30384,8797,6144,,,,0,0,0,0,0
fullband_2001_145mA_v1,614,1537.280000,1537.27982000,-0.180000,2.056000,2.036600247,-0.943568,27.325705,139,1,144.998932,114.866638,7.000122,12.027588,7.475586,63351,50186,22938,9853,6124,,,,0,0,0,0,0
fullband_2001_145mA_v1,615,1537.300000,1537.29896000,-1.040000,2.056000,2.052485416,-0.170943,30.338056,143,1,144.998932,116.407013,7.000122,11.856689,7.338867,63351,50859,22938,9713,6012,,,,0,0,0,0,0
fullband_2001_145mA_v1,616,1537.320000,1537.31921000,-0.790000,2.056000,2.056758790,0.036906,26.719621,116,1,144.998932,108.283997,0.248718,11.877441,7.344971,63351,47310,815,9730,6017,,,,0,0,0,0,0
fullband_2001_145mA_v1,617,1537.340000,1537.33985000,-0.150000,2.056000,2.061940115,0.288916,27.179455,125,1,144.998932,111.076355,1.734314,11.832275,7.322998,63351,48530,5683,9693,5999,,,,0,0,0,0,0
fullband_2001_145mA_v1,618,1537.360000,1537.35909000,-0.910000,2.056000,2.062828510,0.332126,28.511716,163,1,144.998932,113.280487,8.500061,10.285645,6.237793,63351,49493,27853,8426,5110,,,,0,0,0,0,0
fullband_2001_145mA_v1,619,1537.380000,1537.37897000,-1.030000,2.056000,2.069346753,0.649161,28.558183,137,1,144.998932,110.387421,2.500000,10.426025,6.165771,63351,48229,8192,8541,5051,,,,0,0,0,0,0
fullband_2001_145mA_v1,620,1537.400000,1537.40019000,0.190000,2.056000,2.058914551,0.141758,29.281403,150,1,144.998932,112.417603,7.420349,10.550537,6.049805,63351,49116,24315,8643,4956,,,,0,0,0,0,0
fullband_2001_145mA_v1,621,1537.420000,1537.41932000,-0.680000,2.056000,2.059169017,0.154135,25.575453,119,1,144.998932,118.258667,7.059021,10.550537,6.049805,63351,51668,23131,8643,4956,,,,0,0,0,0,0
